,origx,origy,value,orig_srid,date,property,unit,quality,parameter,sampledevice,samplemethod,compartment,measurementmethod
123,71428.409,450881.357,-3.44,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
124,71424.439,450876.395,-3.431,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
125,71420.528,450871.377,-3.402,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
126,71416.612,450866.334,-3.407,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
127,71413.007,450861.046,-3.432,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
128,71409.768,450855.385,-3.436,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
129,71406.635,450849.811,-3.393,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
130,71403.272,450844.38,-3.353,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
131,71400.033,450838.802,-3.368,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
132,71396.736,450833.326,-3.295,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
133,71393.52,450828.056,-3.472,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
134,71389.832,450823.485,-3.424,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
135,71386.141,450819.239,-3.409,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
136,71382.412,450815.233,-3.368,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
137,71378.897,450811.212,-3.413,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
138,71375.523,450807.023,-3.396,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
139,71367.238,450796.912,-3.409,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
140,71352.424,450779.716,-3.486,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
141,71348.861,450774.592,-3.45,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
142,71345.435,450769.899,-3.509,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
143,71342.867,450765.92,-3.524,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
144,71340.832,450762.678,-3.46,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
145,71339.17,450760.054,-3.42,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
146,71337.335,450757.932,-3.494,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
147,71335.703,450756.145,-3.461,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
148,71333.952,450754.246,-3.402,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
149,71332.298,450752.158,-3.396,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
150,71330.673,450749.507,-3.424,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
151,71328.584,450745.696,-3.387,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
